tax_id,density
219,0.01
512,0.00375
550,13.36
712,0.18
714,0.3132
811,3.65
812,0.67231
818,0.32798
899,4.84872
1141,0.02
1151,1.04021
1676,10.69
1677,0.82
1681,4.25
1793,0.35
1794,0.18463
2055,0.47945
2057,0.73299
2058,22
2059,0.3693
2060,0.02154
2061,0.03849
2062,0.37794
2446,1.83648
2447,4.44
2461,0.37563
2609,6.02
2610,10.9269
2611,11.17477
2612,11.17477
2613,17.89
2675,1.67533
2814,0.88
2815,0.28
2828,0.12
2888,0.75
2890,0.25532
2891,0.26452
2892,0.31946
2893,2.39
3126,0.53636
3127,0.53997
3128,0.67421
3129,0.21878
3160,0.49022
3590,18
3744,0.22
3745,0.25
3746,0.01
3747,0.15258
3748,1.2
3753,0.74
3755,0.74
3786,2.03809
3787,1.49629
3794,1.43021
3795,1.31225
3796,1.62853
3797,4.07
3798,1.38726
3810,2.84605
3811,1.98
3812,0.93376
3814,1.09213
3815,0.82031
3816,0.92793
3847,0.33928
4015,9.24
4037,0.178
4038,0.35325
4137,3.65
4138,2.98421
4139,0.0588
4140,0.1
4141,3.80393
4142,5.97
4143,35.98
4144,6.92
4145,1.14
4146,2
4148,3.05796
4149,3.18
4150,0.5
4151,1.45159
4152,1.51994
4153,3.40043
4154,1.64445
4185,0.47
4248,3.54
4256,0.19669
4257,11.24
4265,1.03106
4273,1.65819
4274,1.5915
4288,0.20065
4806,5.11552
4819,1.10433
5228,34.62
5229,7.99
5674,0.12
5760,0.88
5953,0.55
6082,4.16994
6204,0.00482
6232,1.13538
6234,0.42
6235,2.74
6553,1.05
6557,0.02
6635,9.64124
6793,0.2
6923,NA
6924,0.48885
6925,4.17434
6926,4.09242
6927,3.05182
6928,3.9856
6929,1.01
7112,2.63128
7121,0.71573
7140,0.53
7750,6.46
7949,0.4162
7950,2.27
7951,0.69
7953,0.50549
7960,1.32
8010,0.01
8239,0.0099
8327,5.83017
8540,0.57295
8541,1.47985
8542,0.17
8543,0.36
8668,3.41
8833,7.84943
8834,3.02656
8967,2.54736
8968,0.18
8969,2.3
8970,0.4
8971,3.92
8972,2.52029
8973,1.56
8974,1.8308
8975,2.89281
8976,0.64
8978,3.00111
8980,3.35182
8981,2.55609
8982,12.53
8992,NA
8994,3.01452
8997,1.88679
8998,2.26114
9194,1.23
9561,0.00792
9660,0.01943
9760,0.5495
9917,1.20909
9918,2.63791
9919,1.2822
9948,0.58
10032,0.58554
10053,1.2
10054,1.12
10103,4.86
10167,0.96
10168,0.76521
10170,1.3
10274,0.015
10276,0.015
10329,3.89168
10340,0.11
10341,15.85
11033,31
11034,0.34
11035,2.46
11036,2.6
11037,4.78
11186,0.93903
11509,0.42
11510,1.86541
11511,0.05
11638,0.33825
11696,0.12
11933,2.30886
12142,0.43
12246,1.01
12302,1.12
12303,0.36306
12304,0.62676
12305,0.54631
12392,6.72
12419,0.85
12420,1.03202
12421,0.68938
12427,4.42
12436,0.01
12518,0.05
12519,0.02
12520,0.32
12521,0.1
12592,3.58811
12667,11.41194
12668,9.27189
12669,14.01
12670,19
12847,0.03
12848,0.44
12913,3.34194
12914,0.18
13110,9.38964
13143,0.13
13581,0.00333
13583,0.0023
13653,0.01291
13654,0.01717
13655,0.01941
13894,3.94964
13895,3.71371
13896,3.71371
13897,3.78375
13901,3.74955
13922,8.73765
13923,7.33
13924,3.03582
13926,1.31814
13927,2.71645
13928,2.29248
14018,0.07
14019,9.28985
14020,2
14021,12.89
14025,8.04346
14026,20.82584
14027,2.82089
14055,3.05789
14294,2.27075
14295,2.37301
14296,2.27424
14303,0.86074
14357,10.25323
14519,0.2704
14549,0.21571
14602,8.48973
14603,10.19124
14604,0.9901
14925,12.02
15106,1.27
15188,1.02
15269,0.16
15309,0.93523
15310,0.15
15311,1.76939
15452,0.49926
15485,2.62
15568,0.6333
15569,1.20078
15571,1.38
15573,9.88
15628,2.56266
15640,0.075
15642,1.18
15730,2.43
15733,0.02
15735,1.48
15739,1.74546
15740,1.07201
15803,2.01391
15951,0.11
15951,0.11
15953,0.05
15954,0.07
15955,0.03
15967,2.08982
16104,4.8162
16218,1.47808
16484,18.71
17013,5.68
17023,0.03935
17026,0.16187
18146,1.50286
18148,4.81255
18149,2.98577
18150,0.4627
18230,2.34445
18231,2.62305
18232,2.30187
18267,5.52864
18372,0.81
18535,2.2509
18536,2.49
18597,1.0145
18711,0.15372
18847,4.69572
18848,4.682
18868,0.02
19306,10.5
19307,0.51
19308,1.27
19390,0.65
19391,7.77
19392,1.03
19495,0.1
19496,3.33
19771,2.2136
19832,0.75
19852,16.79996
20468,0.01
21172,2.56092
21174,0.3872
21175,0.21437
21176,0.21437
21177,0.28076
21178,0.37082
21203,2.42
21251,5.84
21471,0.34
21472,0.11
21473,0.1757
21474,0.85
21661,2.96345
22046,80.5
22047,0.4
22050,1.66
22051,1.52
22052,126.94
22053,0.35
22054,1.06
22055,0.1014
22065,8.36836
22066,0.30157
22732,0.065
22780,2.41
22781,7
22823,0.00705
22824,0.35561
22956,3.1
23036,1.8472
23049,6.27569
23050,1.25
23051,6.08596
23052,6.11
23053,5.13729
23059,0.41
23060,1.43001
23061,0.74357
23062,1.1
29619,9.3
29620,9.21
29621,3.28445
29622,2.80114
29672,8.61526
29673,2.52
29674,6.25
29679,2.50655
29680,7.25506
29684,0.31
29742,2.55
30208,24.56
39250,1.26311
39255,2.06765
39426,15.85
40784,8.65745
41013,6.35
41023,3.01235
41586,5.62079
41587,0.19
41588,10.39177
41589,4.99
41590,4.74317
41591,2.45026
41592,6.07206
41593,9.37307
41594,6.13762
41595,9.93597
41596,3.39744
41597,6.18802
41598,11.60265
41599,16.12324
41600,10
41605,20.53606
41606,7.99758
41608,8.93062
41609,15.52434
41610,3.03505
41611,10.34847
41612,10.20001
41613,5.49679
41614,39.59
41615,1.39005
41616,7.75764
41617,8.50652
41618,6.54145
41619,6.55043
41620,3.7
41621,16.98
41622,2.52874
41623,6.86684
41624,5.88053
41625,2.50387
41626,13.53634
41627,7.98868
41628,6.30386
41629,2.32109
41630,7.75291
41631,3.87921
41632,1.26454
41633,9.52
41634,11.97855
41635,8.15
41636,4.7
41637,11.92508
41639,4.2658
41640,1.30241
41644,1.77
41645,41.21229
41646,5.28187
41647,19.53322
41648,0.67
41649,0.03
41650,12.8825
41651,0.17
41652,0.07
41653,24.49243
41654,0.76
41655,16.61118
41656,10.72496
41657,7.57633
41658,0.83
41659,8.13821
41660,58.1224
41661,2.50128
41662,14.17256
41663,1.94
41664,0.03841
41665,0.01982
41666,0.5
41667,0.04885
41668,0.04885
41669,1.47
41670,0.04332
41671,0.09
41672,0.95
41676,1.58
41678,10.9269
41679,34.21
41680,3.58
41683,6.07
41684,15.42
41685,5.74
41686,3.29
41687,0.72
41688,0.02
41689,10.73954
41690,3.84413
41691,6.6737
41692,4.12947
41693,5.19976
41694,5.73653
41695,1.84549
41696,2.2656
41697,7.50234
41698,1.88
41699,7.65197
41700,3.61614
41701,3.02656
41702,7.31316
41703,1.5237
41704,1
41705,17.30794
41706,11.60964
41707,0.45042
41708,2.71829
41709,2.29159
41710,5.58639
41763,0.63217
41767,7.61
41768,1.13538
41769,1.5
41770,0.4
41771,0.23
41772,0.27946
41773,0.57532
41775,3.54
41777,7.92
41778,1.59
41779,2.74
41780,13.72606
41781,6.97277
41782,0.4
41783,6.69
41784,16.5
41785,2.9
41788,0.75
41789,1.31061
41790,4.89
42188,21.99
42189,2.99877
42190,3.12
42191,0.67
42393,16
42394,17.32
42395,7.61
42396,80
42397,1.27086
42398,0.841
42680,1.24091
44165,22.12093
44166,1.17916
44172,0.04248
44703,1.93817
44704,2.9409
63541,5.47
63543,0.0498
136223,2.31339
136242,0.52147
136290,3.01235
136293,2.9409
136297,13.2227
136301,3.28445
136340,1.22456
136360,8.80043
136385,1.95436
136435,2.31339
136437,1.83147
136446,1.15867
136472,1.11323
136479,2.9409
136533,8.80043
136551,2.9409
136585,NA
136603,0.17815
136636,12.08925
136643,5.52662
136686,2.72813
136708,5.67754
136750,3.57682
136797,12.78176
136799,NA
136831,NA
